accession,control1,control2,control3,stress1,stress2,stress3
101AV/Ge-0,8.93953,7.6318,5.4538,3.5034,2.8312,2.765
157AV/Ita-0,16.5995,21.1962,12.764,3.294,2.9052,2.5851
162AV/Ct-1,3.71989,3.6123,5.89354,2.13592,2.34716,3.06577
163AV/Can-0,5.70184,5.5868,8.028,3.443,8.4489,4.6753
166AV/Cvi-0,3.42541,4.4633,4.2502,2.5632,2.7672,2.5587
172AV/Bur-0,4.55497,4.74912,3.73145,3.36364,2.32469,4.10497
180AV/Blh-1,4.02628,4.0873,4.19231,2.96578,2.4492,2.84141
186AV/Col-0,9.29653,5.1996,5.4083,3.5316,2.8519,2.8141
200AV/Gre-0,8.81307,7.53222,7.5981,5.6638,5.5956,5.6045
215AV/Mh-1,8.23732,5.38674,5.70578,2.58812,3.35512,2.72068
224AV/Oy-0,7.4443,6.1169,4.575,3.5963,2.8497,3.4569
236AV/Shadahra,12.6849,9.64981,12.82468,5.15033,9.00312,9.12152
252AV/Akita,4.17078,7.24694,5.28786,2.76775,4.62472,2.78781
257AV/Sakata,7.44427,6.11693,4.575,3.59631,2.84969,3.45691
25AV/Jea,5.08876,4.25703,3.80197,3.11333,2.64925,2.88485
266AV/N13,3.63937,3.83346,4.4679,2.33833,2.85714,3.33333
42AV/Bl-1,3.83682,4.7226,4.5342,2.5129,2.1767,2.3264
62AV/St-0,5.05739,7.8598,6.1721,3.375,2.0437,2.4212
70AV/Kn-0,5.62864,5.7376,4.1697,2.8931,2.7594,2.5362
83AV/Edi-0,4.07907,4.72709,5.63771,2.51121,2.98324,4.19319
8AV/Pyl-1,4.95955,4.83542,4.10355,1.9083,2.91034,3.83191
91AV/Tsu-0,4.55,3.45733,3.95349,2.73556,2.54511,2.80685
94AV/Mt-0,4.06422,5,3.9289,2.3429,1.5112,2.1712
96AV/An-1,4.59489,4.7108,5.1138,1.5476,2.7907,2.2203
